sample-id,Name,County,State,Rootworm,Kit,Diet,Collection_date,Year
KP001-A05,ICO16-1,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP002-A06,ICO16-2,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP003-A07,ICO16-3,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP004-A08,ICO16-4,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP005-A09,ICO16-5,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP006-A10,ICO16-6,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP007-A11,ICO16-7,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP008-A12,ICO16-8,Illif,CO,WCR,DNA_BT,Wild,8/4/16,2016
KP009-B01,JCO16-1,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP010-B02,JCO16-2,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP011-B03,JCO16-3,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP012-B04,JCO16-5,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP013-B05,JCO16-7,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP014-B06,JCO16-8,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP015-B07,JCO16-9,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP016-B08,JCO16-10,Jullesburg,CO,WCR,DNA_BT,Wild,8/1/16,2016
KP017-B09,OCO16-2,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP018-B10,OCO16-3,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP019-B11,OCO16-4,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP020-B12,OCO16-5,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP021-C01,OCO16-6,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP022-C02,OCO16-7,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP023-C03,OCO16-8,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP024-C04,OCO16-12,Ovid,CO,WCR,DNA_BT,Wild,8/2/16,2016
KP025-C05,MCO16-1,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP026-C06,MCO16-2,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP027-C07,MCO16-3,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP028-C08,MCO16-4,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP029-C09,MCO16-6,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP030-C10,MCO16-7,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP031-C11,MCO16-8,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP032-C12,MCO16-9,Merino,CO,WCR,DNA_BT,Wild,8/6/16,2016
KP033-D01,FCO16-1,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP034-D02,FCO16-2,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP035-D03,FCO16-4,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP036-D04,FCO16-5,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP037-D05,FCO16-6,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP038-D06,FCO16-7,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
KP039-D07,FCO16-8,Ft_Morgan,CO,WCR,DNA_BT,Wild,8/8/16,2016
