ID,KP001-A05,KP002-A06,KP003-A07,KP004-A08,KP005-A09,KP006-A10,KP007-A11,KP008-A12,KP009-B01,KP010-B02,KP011-B03,KP012-B04,KP013-B05,KP014-B06,KP015-B07,KP016-B08,KP017-B09,KP018-B10,KP019-B11,KP020-B12,KP021-C01,KP022-C02,KP023-C03,KP024-C04,KP025-C05,KP026-C06,KP027-C07,KP028-C08,KP029-C09,KP030-C10,KP031-C11,KP032-C12,KP033-D01,KP034-D02,KP035-D03,KP036-D04,KP037-D05,KP038-D06,KP039-D07,KP040-D08,KP041-D09,KP042-D10,KP043-D11,KP044-D12,KP045-E01,KP046-E02,KP047-E03,KP048-E04,KP049-E05,KP050-E06,KP051-E07,KP052-E08,KP053-E09,KP054-E10,KP055-E11,KP056-E12,KP057-F01,KP058-F02,KP059-F03,KP060-F04,KP061-F05,KP062-F06,KP063-F07,KP064-F08,KP065-F09,KP066-F10,KP067-F11,KP068-F12,KP069-G01,KP070-G02,KP071-G03,KP072-G04,KP073-G05,KP074-G06,KP075-G07,KP076-G08,KP077-G09,KP078-G10,KP079-G11,KP080-G12,KP081-H01,KP082-H02,KP083-H03,KP084-H04,KP085-H05,KP086-H06,KP087-H07,KP088-H08,KP089-H09,KP090-H10,KP091-H11,KP092-H12,KP093-A01,KP094-A02,KP095-A03,KP096-A04,KP097-A05,KP098-A06,KP099-A07,KP100-A08,KP101-A09,KP102-A10,KP103-A11,KP104-A12,KP105-B01,KP106-B02,KP107-B03,KP108-B04,KP109-B05,KP110-B06,KP111-B07,KP112-B08,KP113-B09,KP114-B10,KP115-B11,KP116-B12,KP117-C01,KP118-C02,KP151-E11,KP152-E12,KP153-F01,KP154-F02,KP155-F03,KP156-F04,KP157-F05,KP158-F06,KP159-F07,KP160-F08,KP161-F09,KP162-F10,KP163-F11,KP164-F12,KP165-G01,KP166-G02,KP175-G11,KP176-G12,KP177-H01,KP178-H02,KP179-H03,KP180-H04,KP181-H05,KP182-H06,KP183-H07,KP184-H08,KP185-H09,KP186-H10,KP187-H11,KP188-H12,KP189-A01,KP190-A02,KP207-A12,KP208-B01,KP209-B02,KP210-B03,KP211-B04,KP212-B05,KP213-B06,KP214-B07,KP215-B08,KP216-B09,KP217-B10,KP218-B11,KP219-B12,KP220-C01,KP221-C02,KP222-C03,KP223-C04,KP224-C05,KP225-C06,KP226-C07,KP227-C08,KP228-C09,KP229-C10,KP230-C11,KP231-C12,KP232-D01,KP233-D02,KP234-D03,KP235-D04,KP236-D05,KP237-D06,KP238-D07,KP239-D08,KP240-D09,KP241-D10,KP242-D11,KP243-D12,KP244-E01,KP245-E02,KP246-E03,KP247-E04,KP248-E05,KP249-E06,KP250-E07,KP251-E08,KP252-E09,KP253-E10,KP254-E11,KP255-E12,KP256-F01,KP257-F02,KP258-F03,KP259-F04,KP260-F05,KP261-F06,KP262-F07,KP263-F08,KP264-F09,KP265-F10,KP266-F11,KP267-F12,KP268-G01,KP269-G02,KP270-G03,KP276-G09,KP277-G10,KP278-G11,KP279-G12,KP280-H01,KP281-H02,KP282-H03,KP283-H04
ASV_1,144809,48201,115032,92682,76331,67459,57766,103877,94690,170809,88526,87700,121485,87667,81458,205332,68491,115409,116745,68637,125161,86310,85117,146971,217146,139283,166273,163010,166754,157328,165798,153454,279477,197500,129518,169329,159213,128967,187030,163689,133425,112167,160955,164090,104094,117092,113204,133180,166592,116886,155998,169608,138295,143867,140488,143682,149775,129498,180158,131918,124115,129792,119542,154800,102091,111376,109993,70428,88493,106668,178780,159694,105600,152980,144450,119805,137552,90826,155853,107829,107187,113567,101580,71452,36547,89140,84643,32915,104143,94745,105595,67504,62747,153234,195302,37451,236691,163270,194292,85236,128743,238439,62254,99674,214733,264456,172259,216051,204428,97465,41,12,0,0,92,0,0,0,10338,8020,5823,7105,18031,17719,15343,13115,23748,63432,65842,8899,3322,63814,15678,152112,105022,110686,61468,199316,138283,236658,90315,89435,25190,44697,20839,36750,39389,25739,2322,6710,144663,118193,154490,74189,128420,125811,57015,95013,246906,100398,85715,159954,94924,133436,43637,133717,901,86549,142318,65379,114836,85614,104286,165501,48676,93737,138917,15644,29019,133877,90592,100884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,39,0,0,0,0,0,0,84429,75201,61637,80959,27806,80204,57362,33288
ASV_2,3961,3447,0,241,1118,30,1855,53,757,13560,4176,28686,65,6240,107,65,0,111,7713,26304,2483,291,7402,34,16,43,75,4158,261,32,8063,25332,310,8056,2869,1385,55275,1966,223,14879,265,92481,72,89,0,2390,40762,24,138,17820,222,355,15327,34111,18735,105,196,9445,673,17308,541,2605,7831,1396,29681,30698,9868,14,1287,29,904,73,67,12322,1962,114,0,2072,8414,18,654,33,0,1209,79238,161,19,27639,173,57,228,5251,216,78,252,305,51,120,52,11653,74,48,13,106,57,20,5477,33,14865,0,37719,5458,21403,9533,54285,26221,48202,10116,233,28,9659,904,552,875,5606,119238,121,64,93,54,24,0,221,921,633,2091,1208,6981,1442,3755,463,2092,5329,2355,3414,6393,3778,546,317,1999,22893,70,8136,50675,906,202,89,143,61,48,70,49793,2476,320,5783,17690,71,47,176,12819,1300,219,2229,24,0,0,181,0,66989,0,0,11,53055,4597,6925,305,3808,163,424,92,199,588,34,41187,98,26,34,80,11799,377,956,13416,99323,44,33528,965,21551,44,102,94,121,3996,8652,51068,12171,62,48,55,21632,324,0,1092
ASV_4,0,21,44,0,0,4,0,0,5,47,661,8371,0,0,4,559,12176,32,9,2,44,1555,0,0,0,3,0,0,0,7,65,167,153,85,88,319,141,24265,479,232,88,22,286,65,7883,397,22283,49,233,35,130,4471,0,41,19,84,169,410,979,12049,1204,461,130,799,9,518,1273,0,320,539,228,169,0,1855,86,63,0,203,3156,74,9,3,731,29267,89118,16,10,4,236,305,5722,23,170,69,241,3961,62569,33,8,19583,16,8425,2,26,0,0,0,14252,11,75,15645,466,288,2206,21961,1652,54,25162,3374,184,93,2275,5859,446,3343,365,80,49,20,45,29,17,19,66,0,0,0,0,0,0,0,0,29822,13941,14031,40367,23708,4527,17145,9697,0,0,13,0,0,0,22,0,5737,11,5,254,3,10,136,1246,0,11,50,3816,6117,5,12,24,0,0,21,24536,33,0,4,144,63,1617,1091,25,108,6,7,0,819,1969,4150,995,50,123018,63708,5248,13758,16,163,48,5,36,95,201,7582,32,36,80,0,78,2680,34356,3751,15,8,49,17,0,0,14
ASV_5,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20499,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,83,169,91,44,29,432,515,0,0,0,0,0,0,0,0,35,59,13,40,0,0,62,29,0,0,12,63,28,12,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,18,0,0,0,0,0,0,16,50,88566,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,1102,0,108,0,12,24447,12,0,0,0,0,0,36,120248,28,1022,0,0,59,0,153,0,0,0,0,0,0,0,0,0,0,883,0,0,0,0
ASV_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_7,1789,47,62,74,142,138,165,911,0,119,0,35,0,4322,0,100,0,0,86,0,0,0,0,0,0,0,333,1045,457,14,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1319,48,0,0,0,0,0,0,0,0,0,0,0,375,0,433,56,0,2201,30,81,36,0,0,138,184,1150,53,0,243,236,673,0,25,0,0,52,34440,590,74,0,0,0,27,17,0,0,26,143,22,0,625,0,0,0,103,0,0,0,238,31,35,45,50,2251,5085,702,440,433,480,1713,11995,148,0,0,0,0,41817,0,250,0,193,34,23,26,0,18,93,661,0,80,51,102,67,186,17,52,374,165,122,207,227,24,308,174,0,0,0,0,293,19,0,0,0,0,0,0,1450,131,0,0,0,66,327,83,0,32,1448,3225,151,36,0,27,0,46,0,3081,616,392,38,57,1664,83,151,25,0,0,0,185,0,0,0,319,0,25,60,0,0,139,795,0,72,0,0,0,0,0,0,0,0,31,0,0,0,0,17,0
ASV_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,90,0,80,6,0,0,0,0,1750,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_9,0,0,92777,0,0,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,71,0,0,0,0,0,0,0,46271,0,187,0,0,0,0,0,0,0,0,3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,454,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13727,0,113,0,63,0,0,0
ASV_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,54,273,3630,0,627,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,105,132,236,193,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38298,13665,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_11,174,33,0,65,43,127,61,80,33,38,47,370,9558,338,113,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,50,368,107,50,323,258,42,63,30,87,11000,0,603,521,77,34,0,0,0,0,0,0,0,285,61,384,214,795,787,281,1150,0,0,33,136,233,0,240,0,0,0,65,814,473,0,0,97,0,138,0,65,25,0,0,0,0,0,9,250,0,0,0,14,76,37,24,0,26,45,275,3955,111,36,51,444,321,3461,646,322,542,2844,140,457,320,104,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,30,0,0,0,0,31,0,0,0,0,0,0,0,1298,14,552,940,0,0,9,11,0,23,0,0,0,51,0,0,0,175,542,90,384,330,167,180,296,33,42,129,21,18,14,43,1071,69,64,2009,1861,40,0,18,351,41,56,0,0,0,15,0,851,90,958,481,32,148,1089,792,141,153,96,0,0,89,14,255,8798,39,0,15,0,18,0,0
